                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93745,                0.78936,                 1.1864,                 1.0311,                0.95251,                 1.1918,                0.78847,                0.69921,                0.76138,                0.54734,                0.99771,                0.87061,                 1.1873,                 1.0605,                 1.0883,                 1.1884,              0.0013149,              0.0013149,              0.0013149
                     35,                0.89854,                0.75794,                 1.1429,                 1.0114,                0.93899,                  1.162,                0.74049,                0.66203,                 0.7622,                0.56571,                0.95958,                0.87623,                 1.1662,                0.98029,                 1.0791,                 1.1557,              0.0013039,              0.0013039,              0.0013039
                     36,                0.92263,                0.78226,                 1.1671,                 1.0028,                0.94332,                 1.1755,                0.76928,                0.66708,                0.74629,                 0.5535,                0.96273,                 0.8772,                 1.1667,                 1.0605,                 1.0917,                 1.1898,              0.0012929,              0.0012929,              0.0012929
                     37,                0.87735,                0.75248,                 1.1283,                0.98106,                 0.9217,                 1.1441,                0.79344,                0.72427,                0.77599,                 0.5639,                0.97103,                0.82258,                 1.1669,                 1.0537,                  1.048,                 1.2001,              0.0012819,              0.0012819,              0.0012819
                     38,                 0.8875,                0.74723,                 1.1447,                0.97867,                0.90705,                 1.1618,                0.75907,                0.73715,                0.78283,                0.57646,                0.99136,                0.82953,                  1.174,                 1.0499,                 1.0327,                 1.1899,              0.0012709,              0.0012709,              0.0012709
                     39,                0.86099,                0.74089,                  1.138,                0.94544,                 0.8904,                 1.1483,                0.79847,                0.75148,                 0.7964,                 0.5901,                0.96309,                0.85274,                 1.1639,                 1.0405,                 1.0247,                 1.1922,              0.0012599,              0.0012599,              0.0012599
                     40,                0.87532,                0.73987,                 1.1411,                0.95002,                0.89836,                 1.1419,                0.73824,                0.71539,                0.76907,                0.55176,                0.98086,                0.95084,                 1.1803,                 1.0334,                 1.1356,                 1.1637,              0.0012489,              0.0012489,              0.0012489
                     41,                0.85838,                  0.753,                 1.1429,                0.95303,                0.91339,                 1.1595,                0.76673,                0.72653,                0.77989,                0.56721,                0.96004,                0.85013,                 1.1648,                 1.0016,                 1.0456,                 1.1519,              0.0012379,              0.0012379,              0.0012379
                     42,                0.84972,                0.70539,                 1.1224,                0.92515,                0.82252,                 1.1249,                0.82072,                0.70832,                0.78454,                0.58727,                0.91061,                0.83214,                 1.1401,                0.97785,                0.98262,                 1.1304,              0.0012269,              0.0012269,              0.0012269
                     43,                0.82261,                0.69113,                 1.1206,                0.90313,                0.83017,                 1.1293,                0.83064,                0.73832,                0.79618,                 0.5974,                0.93239,                0.79114,                 1.1481,                 1.0281,                0.93322,                 1.1554,              0.0012159,              0.0012159,              0.0012159
                     44,                0.81811,                0.78319,                 1.1145,                0.93995,                0.94153,                 1.1396,                 0.7694,                0.71906,                  0.789,                0.57218,                0.96719,                0.82437,                 1.1607,                 1.0449,                0.94559,                 1.1685,              0.0012049,              0.0012049,              0.0012049
                     45,                0.82636,                0.70893,                  1.127,                0.91572,                0.83158,                 1.1447,                0.78388,                0.72013,                0.78358,                0.57276,                0.97264,                0.83787,                 1.1667,                 1.0538,                 0.9698,                 1.1694,              0.0011939,              0.0011939,              0.0011939
                     46,                0.84334,                 0.7628,                 1.1272,                0.91599,                0.88246,                 1.1325,                0.81507,                0.68602,                0.77751,                0.55866,                0.98064,                0.87428,                  1.175,                 1.0612,                 1.1277,                 1.1826,              0.0011829,              0.0011829,              0.0011829
                     47,                0.86973,                0.68908,                 1.1291,                 0.9613,                0.82562,                 1.1411,                0.78574,                0.72801,                0.79333,                0.58315,                0.94402,                 0.7996,                 1.1347,                 1.0405,                0.99311,                 1.1639,              0.0011719,              0.0011719,              0.0011719
                     48,                0.83089,                0.68129,                 1.1164,                0.92514,                0.79462,                 1.1349,                  0.834,                0.68806,                0.77231,                0.56807,                0.93618,                0.78501,                 1.1357,                 1.0284,                 0.9479,                 1.1513,              0.0011609,              0.0011609,              0.0011609
                     49,                0.81463,                0.67348,                 1.1174,                0.91314,                0.77871,                 1.1224,                0.82667,                0.78972,                0.82109,                0.59691,                0.93659,                 0.8007,                   1.13,                 1.0041,                 0.9134,                 1.1316,              0.0011499,              0.0011499,              0.0011499
                     50,                0.82759,                0.64982,                 1.1178,                0.91437,                0.77124,                 1.1173,                0.75078,                0.76739,                0.80179,                0.57748,                0.92988,                  0.817,                 1.1363,                 1.0023,                0.97811,                 1.1362,              0.0011389,              0.0011389,              0.0011389
                     51,                0.83013,                0.65852,                 1.1161,                0.90904,                0.74548,                 1.1314,                0.80307,                0.73969,                 0.8109,                0.58736,                0.96897,                0.73347,                 1.1516,                 1.0167,                0.91989,                  1.154,              0.0011279,              0.0011279,              0.0011279
                     52,                0.83879,                0.68454,                 1.1102,                0.93267,                0.79805,                 1.1223,                0.75834,                 0.7857,                0.80648,                0.58193,                0.98559,                0.76103,                 1.1481,                 1.0301,                0.92108,                 1.1515,              0.0011169,              0.0011169,              0.0011169
                     53,                0.83034,                0.66243,                 1.1111,                 0.9145,                0.74105,                  1.126,                0.76329,                0.73087,                0.79984,                0.60061,                0.92341,                0.73918,                  1.139,                 1.0013,                0.91682,                 1.1556,              0.0011059,              0.0011059,              0.0011059
